quiz_title,question,option1,option2,option3,option4,answer
ITe Quiz 5,이진 탐색 트리(Binary Search Tree)에 대한 설명으로 틀린 것은 무엇인가요?,"각 노드의 왼쪽 서브트리는 해당 노드의 값보다 작은 값을 갖고, 오른쪽 서브트리는 큰 값을 갖는다.",효율적인 데이터 검색을 위해 사용된다.,이진 탐색 트리에서 최댓값은 항상 루트 노드에 위치한다.,모든 노드의 왼쪽과 오른쪽 서브트리의 높이 차이가 1 이하이다.,3
ITe Trend,가장 최근의 IT 트렌드는 무엇인가요?,인공지능 (AI) 기술의 확대,가상 현실 (VR)의 보급,빅데이터 및 데이터 분석의 활용,모바일 애플리케이션의 강화,1
ITe Trend,다음 중 IoT(Internet of Things)에 대한 설명으로 옳지 않은 것은 무엇인가요?,IoT는 사물이 인터넷에 연결되어 상호작용할 수 있도록 하는 기술입니다.,스마트 홈 기기는 IoT의 한 예시로 볼 수 있습니다.,"IoT는 주로 농업 분야에서만 사용되고 있으며, 다른 산업에는 적용할 수 없습니다.",IoT 기술은 자동화와 편의성 증대에 기여합니다.,3
ITe Trend,보안 분야에서 주목받고 있는 IT 트렌드는 무엇인가요?,휴대폰 앱의 증강 현실 기술,블록체인의 사용 확대,클라우드 컴퓨팅의 업그레이드,소셜 미디어 플랫폼의 보안 강화,2
ITe Trend,다음 중 양자 컴퓨팅에 대한 설명으로 옳은 것은 무엇인가요?,양자 컴퓨팅은 전통적인 컴퓨팅보다 더 빠른 인터넷 속도를 제공합니다.,"양자 컴퓨팅은 오직 학계에서만 연구되고 있으며, 상업적으로 활용되지 않습니다.","양자 컴퓨팅은 이론적으로만 가능하며, 실제로 구현되지 않았습니다.",양자 컴퓨팅은 복잡한 문제를 더 빠르고 효율적으로 해결하는 데 도움이 될 수 있는 새로운 형태의 컴퓨팅 기술입니다.,4
C,C 언어의 변수를 선언하는 방법은 다음 중 어떤 것인가요?,declare,define,set,int,4
C,"C 언어에서 사용되는 조건문으로, 특정 조건이 참인 경우에만 코드 블록을 실행하는 것은 무엇이가요?",for문,switch문,if문,while문,3
C,C 언어에서 문자열을 출력하는 함수는 다음 중 어떤 것인가요?,print(),display(),show(),printf(),4
C,C 언어에서 배열의 인덱스는 몇부터 시작하나요?,0,1,-1,10,1
Python,Python에서 변수를 선언하는 키워드는 다음 중 어떤 것인가요?,define,var,int,def,4
Python,Python에서 반복문으로 리스트의 각 항목을 순회하는 방법은 다음 중 어떤 것인가요?,foreach,for,loop,iterate,2
Python,Python에서 문자열을 합치는 방법으로 올바른 것은 다음 중 어떤 것인가요?,concat(),merge(),join(),combine(),3
Python,Python에서 조건에 따라 코드 블록을 실행하거나 건너뛰는 문법은 다음 중 어떤 것인가요?,when문,check문,if문,test문,3
Java,Java에서 클래스의 기본 접근 제어자(default access modifier)는 무엇인가요?,public,pricate,protected,package-private(default),4
Java,Java에서 인터페이스(interface)와 추상 클래스(abstract class)의 차이점은 무엇인가요?,"인터페이스는 다중 상속이 가능하고, 추상 클래스는 단일 상속만 가능하다.","인터페이스는 생성자를 가질 수 있지만, 추상 클래스는 생성자를 가질 수 없다.","인터페이스는 구현 코드를 포함할 수 있지만, 추상 클래스는 구현 코드를 포함할 수 없다.","인터페이스는 변수를 가질 수 있지만, 추상 클래스는 변수를 가질 수 없다.",1
Java,Java에서 garbage collection(가비지 컬렉션)은 무엇을 의미하나요?,사용하지 않는 메모리를 해제하는 기능,예외 처리를 위한 기능,스레드 간 통신을 위한 기능,코드를 컴파일하는 기능,1
Java,Java에서 메서드 오버로딩(method overloading)이란 무엇인가요?,"메서드가 실행 중에 일시적으로 중단되고, 다른 스레드에게 실행을 양보하는 것을 말한다.","같은 이름의 메서드를 여러 개 정의하는 것으로, 매개변수의 개수 또는 타입이 다른 경우를 말한다.","서브 클래스가 슈퍼 클래스의 메서드를 재정의하는 것으로, 메서드 시그니처가 완전히 같아야 한다.","메서드가 실행 중에 예외를 발생시키는 것으로, try-catch 블록을 사용하여 처리해야 한다.",2
